conditionNumber;objectDefinition;objectAccusition;context;item;itemNumber;list
3;indef;unacc;Bir mektup kız buluyor ve okumak için odasına gidiyor;23;1;
4;indef;acc;Bir mektubu kız buluyor fakat kime yazıldığını öğrenemiyor;23;2;
5;def;unacc;Para çocuk buluyor ve hemen cebine koyuyor;24;4;
6;def;acc;Parayı çocuk buluyor ve sahibini aramaya başlıyor;24;1;
7;indef;unacc;Bir para çocuk buluyor fakat almamaya karar veriyor;24;2;
8;indef;acc;Bir parayı çocuk buluyor fakat bayağı yüklü bir para;24;3;
1;def;unacc;Tavuk adam kesiyor ve pişirip yiyor;25;1;
2;def;acc;Tavuğu adam kesiyor, pişirmeyi kadın yapıyor;25;2;
3;indef;unacc;Bir tavuk adam kesiyor ve mahalleye dağıtıyor;25;3;
4;indef;acc;Bir tavuğu adam kesiyor, tavuk hastalıklı çıkıyor;25;4;
5;def;unacc;Soru çocuk soruyor, bu cevaplayıp sinirleniyor;26;2;
6;def;acc;Soruyu çocuk soruyor cevabı yine çocuk veriyor;26;3;
7;indef;unacc;Bir soru soruyor çocuk bu şok oluyor;26;4;
8;indef;acc;Bir soruyu çocuk soruyor ama bu ne olduğunu anlamıyor;26;1;
1;def;unacc;Işık kadın yakıyor ve karşısında adamı buluyor;27;3;
2;def;acc;Işığı kadın yakıyor ve karşısında adamı buluyor;27;4;
3;indef;unacc;Bir ışık yakıyor kadın ve karşısında bir de ne görsün?;27;1;
4;indef;acc;Bir ışığı yakıyor kadın ve bir ne görse beğenirsin?;27;2;
5;def;unacc;Çiçek kadın kokluyor ve birden hapşırıyor;28;4;
6;def;acc;Çiçeği kadın kokluyor ve sevimli sevimli gülümsüyor;28;1;
7;indef;unacc;Bir çiçek kadın kokluyor ve yüzünü buruşturuyor;28;2;
8;indef;acc;Bir çiçeği kadın kokluyor ve yüzünü buruşturuyor;28;3;
1;def;unacc;Ses çocuk duyuyor ve yerinden zıplıyor;29;1;
2;def;acc;Sesi çocuk duyuyor ve çığlığı basıyor;29;2;
3;indef;unacc;Bir ses çocuk duyuyor ve koşarak kaçıyor;29;3;
4;indef;acc;Bir sesi çocuk duyuyor ama ne olduğunu anlamıyor;29;4;
5;def;unacc;Dilenci kadın görüyor ve acıyıp poğaçasını veriyor;30;2;
6;def;acc;Dilenciyi kadın görüyor ve merhamet ediyor;30;3;
7;indef;unacc;Bir dilenci kadın görüyor ve yemeğini onunla paylaşıyor;30;4;
8;indef;acc;Bir dilenciyi kadın görüyor ve acıyıp yemeğini veriyor;30;1;
1;def;unacc;Resim çocuk görüyor ve heyecanla bağırmaya başlıyor;31;3;
2;def;acc;Resmi çocuk görüyor ve heyecanla bağırmaya başlıyor;31;4;
3;indef;acc;Bir resim çocuk görüyor ve birden yüzü sararıyor;31;1;
4;indef;unacc;Bir resmi çocuk görüyor ve birden yüzü sararıyor;31;2;
5;def;acc;Konu çocuk açıyor ve durmadan onun hakkında konuşuyor;32;4;
6;def;unacc;Konuyu çocuk açıyor fakat bizim kız oralı olmuyor;32;1;
7;indef;acc;Bir konu çocuk açıyor fakat kimsenin ilgisini çekmiyor;32;2;
8;indef;unacc;Bir konuyu çocuk açıyor fakat konuşlabilecek bir konu değil;32;3;
ungrammatical;Sen kırdın camı, söyleyeceğim sizi anneme.
ungrammatical;İki kediler yemeği yedi, köpeğe hiçbir şey kalmad!
ungrammatical;Fotoğrafı bir kadın çekmiştiler, hatırladım mı onu?
ungrammatical;Bir kadını adam dövdük, polisler ondan geldi.
ungrammatical;Bir dayılar geldi buraya, seni sordular.
ungrammatical;Sanki bir sesler duyuyorum, ben de duyuyor muyum?
ungrammatical;Tabancayı sana sen verdin, senin suçun yok.
ungrammatical;Kadını deli ettiniz, hep benim suçum!
mediocre;Limonata satacağım ben, sen sat şeker!
mediocre;Ben yapacağım dizaynı, bana güven ya sen.
mediocre;Bir problem çıkarmayacak hoca, sanmam çıkaracağını.
mediocre;Bir söz verecek kocan, tutacak da sözünü
mediocre;Sepet sarkıtacak kadın camdan, çekil de çarpmasın kafana
mediocre;Sandalyeyi alacak annem, sen oturursun yerde
mediocre;Havuza atlayacak köpek, ilaçlı ama o havuz
mediocre;Konsere gidecek arkadaşlar, gideceğim ben de çağırırlarsa
mediocre;Bizi arayacak adam yarın, öyle demiş anneme
mediocre;Duvara çarpacak kardeşin, durdur şu deliyi
mediocre;Seksek oynayacak çocuklar, çiziver yere bir tane
mediocre;Arabayı çalıştıracak baban, kapat kapını artık
mediocre;Kargo getirecek kurye, bastın mı otomatiğe?
mediocre;Hesabını soracak sana, biliyorsun değil mi
mediocre;Kapıyı kapatacak çocuk, çekil kenara da kapasın
mediocre;Mama verecek kediye, ama bulamadı mama kabını
grammatical;Ben de salağa yattım ve anlamamış gibi yaptım.
grammatical;O sadece yerleri sildi, camları silmedi ki.
grammatical;Sen beni tanımamışsın, ben öyle birisi miyim!
grammatical;Onlar çocuğa çarptı diyorsun yani, öyle mi?
grammatical;Biz arabayı almadık, yürüyerek geldik.
grammatical;Siz içecek alın, gerisini biz hallederiz.
grammatical;Ben bilgisayar istedim, o bana tablet almış.
grammatical;Sen yemeği ye, ben bulaşıkları yıkarım.
